Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
1.139499692,-0.110607308,-0.63411136,1.024900882,-0.311774118,-0.018311549,1.791782466,-1.69721543,-0.277942528,-1.439826413,0.014363167,0.660182407,-0.893622743,-1.293181309,-0.483626092,-0.686771708,-1.400233843,0.313498624,-1.035349596,-1.987454867,-1.815064721,-0.374144468,0.384084477,-2.187215192,1.429145552,1.124105707,-1.093130179,-0.201942067,-1.219812338,0.30814893,-0.297255779
1.668093197,-0.146882947,-0.877770746,0.232937761,0.791088779,-0.241523465,-0.08575101,-0.997917388,0.211378066,1.59301339,-0.456349516,0.333686042,0.093563987,0.827445546,0.215745286,-0.102435204,0.021324383,-0.19426964,1.104917084,0.396746577,1.480964583,0.96707966,1.223727241,0.018730192,0.873263554,-0.702764484,0.994379562,0.009961138,0.59445656,-2.38328103,1.767145306
0.479574221,-0.461273365,-0.941820428,0.342129836,-0.031853695,-1.793678765,-0.846373155,2.335821708,0.896071347,0.030184076,1.527743345,-1.185770405,-0.126378442,1.804264708,0.524267577,-1.185139822,0.182468666,0.89336054,-0.814287352,0.441217107,-0.269282615,-0.047932879,0.613935105,-0.452507204,0.743338534,1.198789718,0.381554046,-0.849494396,-0.293268108,1.173664214,0.43644229
2.089838908,0.632755926,0.260217893,0.224980665,1.682801306,-1.628519518,0.664408482,1.351714237,-2.541669938,0.524615222,-0.494638341,-2.93987621,0.526399879,-0.026830789,0.120682344,1.240519579,-0.060129755,-0.755788793,0.187240813,-0.021479593,0.601632744,1.22762382,-0.426708135,-0.894632693,0.481061511,-0.03406462,-0.233080315,-0.486118306,-2.07358524,0.795952825,-0.787959467
0.351998662,-0.469896159,0.722988339,-0.220339117,0.822197196,1.395352171,-0.506795248,1.40454864,0.275549249,-0.086413551,0.495238273,-0.191826238,0.508497388,0.669420315,-0.825106703,0.686663747,-0.996105738,0.129096634,-1.127566277,-0.611722098,0.705585603,-1.921300036,-0.766115541,-0.664726125,1.427547806,1.430992811,-1.158794452,-0.503203826,1.117262429,-1.105196973,0.365154127
0.504995545,0.078540656,-0.369083346,-0.08203063,-0.887999455,-1.751785172,-0.211143115,-0.420078305,-1.227609816,2.615757766,1.420536517,1.787564084,-0.718118816,0.317810396,0.67389549,1.047237127,0.312739293,0.026359931,-0.104784027,0.200063672,1.93212947,0.195516159,-1.372932189,-0.212039101,-0.246909977,0.677293218,0.528232752,-0.156603804,1.039428711,0.191938634,0.200582838
-3.740723341,-2.300257611,0.584145917,-1.986202022,-0.369795181,-1.849512153,0.722254984,-0.468352973,-0.300372408,-0.192253172,1.827098391,-0.043180517,-2.521836366,0.514397088,-0.441414827,-1.555811788,2.068034719,-1.02222721,-0.719984661,-0.942840288,0.405906382,0.504382627,-0.891545873,-0.783944083,0.170651016,-0.36303148,1.967629952,-0.583533598,2.036268307,0.635708063,0.929708782
-0.151823932,0.144416508,-0.951655048,-0.935818871,-0.459356808,1.090060626,1.290071317,0.846646787,0.769581891,-2.601915122,1.580454453,0.002624592,-1.938120512,-0.487692778,-0.453904083,1.761254215,-0.831818548,0.16770446,1.178086427,0.716602161,2.535358128,-0.695292741,0.40319059,-2.262490508,0.564195482,0.345979313,-0.015117881,1.114679489,-0.224310131,-0.278825387,0.151489293
3.275896716,1.353815045,0.352101506,-0.855745909,-0.221625678,-0.767402111,-0.387620095,1.164077832,-0.073232922,-0.380126041,-1.814021986,0.291645391,-0.252729874,-0.134961504,-0.409333477,-0.656348842,-1.02497573,0.760932438,1.195211454,-0.384171691,-0.566710373,0.790169417,0.244943826,-0.292815002,-0.441410968,-0.002305936,0.414159461,-0.352809277,-0.141572584,0.086346698,0.313897666
2.779530331,-0.908852721,1.972622105,1.146100468,2.223702216,0.669068066,1.407746506,-0.795488418,-0.785759515,0.990785839,-0.854176917,-2.887835909,0.668690301,0.031230064,2.521315787,-3.36272043,-0.160414979,0.674975157,0.589853954,-0.746416618,0.233203619,0.653905048,-0.197242877,0.631373539,0.632922478,-0.856534672,-2.049706189,-0.798721086,1.772574589,-2.064340733,-0.856801983
